3 0 3 IJKBB.IJKDD.AA.M.NEELM.N..L.GGHHH... A94 B93 D98 E92 G98 H90 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJKDD.AA.M.NEELM.N..L.GGHHH... A94 B92 D98 E92 G98 H90 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJKDD.AA.M.NEELM.N..L.GG..HHH. A94 B92 D98 E92 G98 H88 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJKDD.AA.M.NEELM.N..L.GG.HHH.. A94 B92 D98 E92 G98 H89 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJKDD.AA.M.NEELM.N..L.GG.HHH.. A94 B93 D98 E92 G98 H91 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJKDD.AA.M.NEELM.N..L.GG..HHH. A94 B93 D98 E92 G98 H92 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJKDD.AA.M.NEELM.N..L.GG...HHH A94 B92 D98 E92 G98 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJKDD.AA.M.NEE.M.N..L.GG..LHHH A94 B92 D98 E92 G98 H93 I93 J99 K98 L95 M97 N99 
3 0 3 IJK.BBIJKDD..AAM.NEELM.N..L.GG...HHH A95 B92 D98 E92 G98 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJKDD.AA.M.NEE.M.N..L.GG..LHHH A94 B93 D98 E92 G98 H93 I93 J99 K98 L97 M97 N99 
3 0 3 IJK.BBIJKDD..AAM.NEE.M.N..L.GG..LHHH A95 B92 D98 E92 G98 H93 I93 J99 K98 L97 M97 N99 
4 0 4 IJK.BBIJKDD..AA..NEE.M.N..LMGG..LHHH A95 B92 D98 E92 G98 H93 I93 J99 K98 L97 M96 N99 
3 0 3 IJK.BBIJKDD....AANEE.M.N..LMGG..LHHH A93 B92 D98 E92 G98 H93 I93 J99 K98 L97 M96 N99 
3 0 3 IJK.BBIJKDD....AANEELM.N..LMGG...HHH A93 B92 D98 E92 G98 H93 I93 J99 K98 L96 M96 N99 
2 0 2 IJK.BBIJKDD....AANEELM.N..LMGGHHH... A93 B92 D98 E92 G98 H90 I93 J99 K98 L96 M96 N99 
2 0 2 I.K.BBIJKDD..J.AANEELM.N..LMGGHHH... A93 B92 D98 E92 G98 H90 I93 J98 K98 L96 M96 N99 
2 0 2 ..K.BBIJKDD.IJ.AANEELM.N..LMGGHHH... A93 B92 D98 E92 G98 H90 I92 J98 K98 L96 M96 N99 
2 0 2 ..KBB.IJKDD.IJ.AANEELM.N..LMGGHHH... A93 B91 D98 E92 G98 H90 I92 J98 K98 L96 M96 N99 
2 0 2 .JKBB.IJKDD.I..AANEELM.N..LMGGHHH... A93 B91 D98 E92 G98 H90 I92 J97 K98 L96 M96 N99 
2 0 2 I.KBB.IJKDD..J.AANEELM.N..LMGGHHH... A93 B91 D98 E92 G98 H90 I93 J98 K98 L96 M96 N99 
2 0 2 .JK.BBIJKDD.I..AANEELM.N..LMGGHHH... A93 B92 D98 E92 G98 H90 I92 J99 K98 L96 M96 N99 
2 0 2 IJKBB.IJKDD....AANEELM.N..LMGGHHH... A93 B91 D98 E92 G98 H90 I93 J99 K98 L96 M96 N99 
3 0 3 IJKBB.IJKDD....AANEELM.N..LMGG..HHH. A93 B91 D98 E92 G98 H88 I93 J99 K98 L96 M96 N99 
3 0 3 IJKBB.IJKDD....AANEELM.N..LMGG.HHH.. A93 B91 D98 E92 G98 H89 I93 J99 K98 L96 M96 N99 
3 0 3 IJKBB.IJKDD....AANEEL..N..LMGGHHHM.. A93 B91 D98 E92 G98 H90 I93 J99 K98 L96 M95 N99 
3 0 3 IJKBB.IJKDDN...AANEELM....LMGGHHH... A93 B91 D98 E92 G98 H90 I93 J99 K98 L96 M96 N98 
3 0 3 IJKBB.IJK.DD...AANEELM.N..LMGGHHH... A93 B91 D97 E92 G98 H90 I93 J99 K98 L96 M96 N99 
3 0 3 .JK.BBIJKDD.I..AANEELM.N..LMGG..HHH. A93 B92 D98 E92 G98 H88 I92 J99 K98 L96 M96 N99 
3 0 3 .JK.BBIJKDD.I..AANEELM.N..LMGG.HHH.. A93 B92 D98 E92 G98 H89 I92 J99 K98 L96 M96 N99 
3 0 3 .JK.BBIJKDD.I..AANEEL..N..LMGGHHHM.. A93 B92 D98 E92 G98 H90 I92 J99 K98 L96 M95 N99 
3 0 3 .JK.BBIJKDDNI..AANEELM....LMGGHHH... A93 B92 D98 E92 G98 H90 I92 J99 K98 L96 M96 N98 
3 0 3 .JK.BBIJK.DDI..AANEELM.N..LMGGHHH... A93 B92 D97 E92 G98 H90 I92 J99 K98 L96 M96 N99 
3 0 3 I.KBB.IJKDD..J.AANEELM.N..LMGG...HHH A93 B91 D98 E92 G98 H87 I93 J98 K98 L96 M96 N99 
3 0 3 I.KBB.IJKDD..J.AANEE.M.N..LMGG..LHHH A93 B91 D98 E92 G98 H87 I93 J98 K98 L95 M96 N99 
3 0 3 ..KBB.IJKDD.IJ.AANEE.M.N..LMGG..LHHH A93 B91 D98 E92 G98 H87 I92 J98 K98 L95 M96 N99 
