1 0 1 ...JCC.HIJ.L.HIAALDDDK.L...KEE...GG. A91 D88 E98 G85 H95 I98 K93 L97 
1 0 1 .H.JCC.HIJ.L..IAAL.DDD.L...KEE...KGG A91 D89 E98 G86 H94 I98 K94 L97 
1 0 1 .HIJCC.HIJ.L..AA.L.DDD.L...KEE...KGG A92 D89 E98 G86 H94 I99 K94 L97 
1 0 1 .HIJCC.HIJ.LAA...L.DDD.L...KEE...KGG A90 D89 E98 G86 H94 I99 K94 L97 
1 0 1 .HIJCC.HIJ.L.AA..L.DDD.L...KEE...KGG A91 D89 E98 G86 H94 I99 K94 L97 
1 0 1 ..IJCC.HIJ.L.HAA.LDDDK.L...KEE...GG. A92 D90 E98 G87 H95 I99 K95 L97 
1 0 1 .HIJCC.HIJ.L..AA.LDDDK.L...KEE...GG. A92 D90 E98 G87 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.L..AA.LDDDK.L...KEE.GG... A92 D90 E98 G85 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.LAA...LDDDK.L...KEE.GG... A90 D90 E98 G85 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.LAA...LDDDK.L...KEE..GG.. A90 D90 E98 G84 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.L.AA..LDDDK.L...KEE..GG.. A89 D90 E98 G84 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.L.AA..LDDDK.L...KEE.GG... A91 D90 E98 G85 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.L..AA.LDDDK.L...KEE..GG.. A92 D90 E98 G86 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.LAA...LDDDK.L...KEE...GG. A90 D90 E98 G87 H94 I99 K95 L97 
1 0 1 .HIJCC.HIJ.L.AA..LDDDK.L...KEE...GG. A91 D90 E98 G87 H94 I99 K95 L97 
1 0 1 ..IJCC.HIJ.L.HAA.LDDDK.L...KEE..GG.. A92 D90 E98 G88 H95 I99 K95 L97 
1 0 1 ..IJCC.HIJ.L.HAA.LDDDK.L...KEE.GG... A92 D90 E98 G89 H95 I99 K95 L97 
1 0 1 ..IJCC.HIJ.L.H.AAL..DDDL...KEEGG.K.. A91 D92 E98 G90 H95 I99 K96 L97 
1 0 1 ..IJCC..IJ.L..AA.L.HDDDL.H.KEEGG.K.. A92 D92 E98 G90 H93 I99 K96 L97 
1 0 1 ..IJCC..IJ.L.HAA.L.HDDDL...KEEGG.K.. A92 D92 E98 G90 H94 I99 K96 L97 
1 0 1 ..IJCC..IJ.L..AA.L.HDDDL.H.KEE.GGK.. A92 D92 E98 G91 H93 I99 K96 L97 
1 0 1 ..IJCC..IJ.L.HAA.L.HDDDL...KEE.GGK.. A92 D92 E98 G91 H94 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.HAA.LDDD..L...KEE.GGK.. A92 D92 E98 G91 H95 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.H.AAL.DDD.L...KEE.GGK.. A91 D93 E98 G91 H95 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.HAA.L.DDD.L...KEEGG.K.. A92 D93 E98 G92 H95 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L.AA..L.DDD.L...KEEGG.K.. A93 D93 E98 G92 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L..AA.L..DDDL...KEEGG.K.. A92 D94 E98 G92 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L.AA..L..DDDL...KEEGG.K.. A93 D94 E98 G92 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...L.DDD.L...KEE.GGK.. A94 D93 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L.AA..L..DDDL...KEE.GGK.. A95 D94 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L..AA.L..DDDL...KEE.GGK.. A96 D94 E98 G93 H96 I99 K96 L97 
1 0 1 .H.JCC.HIJ.L..IAAL..DDDL...KEE.GGK.. A97 D94 E98 G93 H96 I98 K96 L97 
1 0 1 ..IJCC..IJ.L...AAL.HDDDL.H.KEE.GGK.. A97 D94 E98 G93 H93 I99 K96 L97 
1 0 1 ..IJCC..IJ.L.H.AAL.HDDDL...KEE.GGK.. A97 D94 E98 G93 H94 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.H.AAL..DDDL...KEE.GGK.. A97 D94 E98 G93 H95 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L...AAL.DDD.L...KEE.GGK.. A97 D95 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...LDDD..L...KEE.GGK.. A94 D96 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L.AA..LDDD..L...KEE.GGK.. A95 D96 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L..AA.LDDD..L...KEE.GGK.. A96 D96 E98 G93 H96 I99 K96 L97 
1 0 1 .H.JCC.HIJ.L..IAALDDD..L...KEE.GGK.. A97 D96 E98 G93 H96 I98 K96 L97 
1 0 1 ..IJCC.HIJ.L.H.AALDDD..L...KEE.GGK.. A97 D96 E98 G93 H95 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L...AAL..DDDL...KEEGG.K.. A97 D94 E98 G94 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L...AAL.DDD.L...KEEGG.K.. A97 D95 E98 G94 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...LDDD..L...KEEGG.K.. A94 D96 E98 G94 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L.AA..LDDD..L...KEEGG.K.. A95 D96 E98 G94 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L..AA.LDDD..L...KEEGG.K.. A96 D96 E98 G94 H96 I99 K96 L97 
1 0 1 .H.JCC.HIJ.L..IAALDDD..L...KEEGG.K.. A97 D96 E98 G94 H96 I98 K96 L97 
1 0 1 ..IJCC.HIJ.L.H.AALDDD..L...KEEGG.K.. A97 D96 E98 G94 H95 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...LDDDK.L...KEEGG.... A94 D96 E98 G94 H96 I99 K97 L97 
1 0 1 .HIJCC.HIJ.L.AA..LDDDK.L...KEEGG.... A95 D96 E98 G94 H96 I99 K97 L97 
1 0 1 .HIJCC.HIJ.L..AA.LDDDK.L...KEEGG.... A96 D96 E98 G94 H96 I99 K97 L97 
1 0 1 .H.JCC.HIJ.L..IAALDDDK.L...KEEGG.... A97 D96 E98 G94 H96 I98 K97 L97 
1 0 1 ..IJCC.HIJ.L.H.AALDDDK.L...KEEGG.... A97 D96 E98 G94 H95 I99 K97 L97 
1 0 1 .HIJCC.HIJ.L...AALDDDK.L...KEE.GG... A97 D96 E98 G95 H96 I99 K97 L97 
1 0 1 .HIJCC.HIJ.L...AALDDDK.L...KEE..GG.. A97 D96 E98 G96 H96 I99 K97 L97 
