 J    up 1		99 ..BBB.CC.J..AAIJ.MDDI.LMHEEKLMHFFKGG 
 K    up 1		99 ..BBB.CC.J..AAIJ.MDDIKLMHEEKLMHFF.GG 
 F right 1		99 ..BBB.CC.J..AAIJ.MDDIKLMHEEKLMH.FFGG 
 M    up 2		98 ..BBBMCC.J.MAAIJ.MDDIKL.HEEKL.H.FFGG 
 I    up 1		99 ..BBBMCCIJ.MAAIJ.MDD.KL.HEEKL.H.FFGG 
 F  left 1		99 ..BBBMCCIJ.MAAIJ.MDD.KL.HEEKL.HFF.GG 
 K  down 1		99 ..BBBMCCIJ.MAAIJ.MDD..L.HEEKL.HFFKGG 
 D right 2		98 ..BBBMCCIJ.MAAIJ.M..DDL.HEEKL.HFFKGG 
 H    up 1		99 ..BBBMCCIJ.MAAIJ.MH.DDL.HEEKL..FFKGG 
 F  left 1		99 ..BBBMCCIJ.MAAIJ.MH.DDL.HEEKL.FF.KGG 
 D  left 1		99 ..BBBMCCIJ.MAAIJ.MHDD.L.HEEKL.FF.KGG 
 K    up 1		99 ..BBBMCCIJ.MAAIJ.MHDDKL.HEEKL.FF..GG 
 F right 2		98 ..BBBMCCIJ.MAAIJ.MHDDKL.HEEKL...FFGG 
 M  down 2		98 ..BBB.CCIJ..AAIJ.MHDDKLMHEEKLM..FFGG 
 F  left 1		99 ..BBB.CCIJ..AAIJ.MHDDKLMHEEKLM.FF.GG 
 K  down 1		99 ..BBB.CCIJ..AAIJ.MHDD.LMHEEKLM.FFKGG 
 H  down 1		99 ..BBB.CCIJ..AAIJ.M.DD.LMHEEKLMHFFKGG 
 M    up 1		99 ..BBB.CCIJ.MAAIJ.M.DD.LMHEEKL.HFFKGG 
 K    up 1		99 ..BBB.CCIJ.MAAIJ.M.DDKLMHEEKL.HFF.GG 
 F right 1		99 ..BBB.CCIJ.MAAIJ.M.DDKLMHEEKL.H.FFGG 
 B  left 1		99 .BBB..CCIJ.MAAIJ.M.DDKLMHEEKL.H.FFGG 
 H    up 1		99 .BBB..CCIJ.MAAIJ.MHDDKLMHEEKL...FFGG 
