 M  down 2		98 JBBBCCJDD...JAAL..EEEL.MFFKGGM..KIIM 
 L    up 1		99 JBBBCCJDDL..JAAL..EEE..MFFKGGM..KIIM 
 E right 2		98 JBBBCCJDDL..JAAL....EEEMFFKGGM..KIIM 
 J  down 1		99 .BBBCCJDDL..JAAL..J.EEEMFFKGGM..KIIM 
 E  left 1		99 .BBBCCJDDL..JAAL..JEEE.MFFKGGM..KIIM 
 B  left 1		99 BBB.CCJDDL..JAAL..JEEE.MFFKGGM..KIIM 
 L    up 1		99 BBBLCCJDDL..JAA...JEEE.MFFKGGM..KIIM 
 A right 3		97 BBBLCCJDDL..J...AAJEEE.MFFKGGM..KIIM 

A75 B95 C96 D81 E60 F91 G99 I80 J77 K89 L92 M90 
[['B' 'B' 'B' 'L' 'C' 'C']
 ['J' 'D' 'D' 'L' '.' '.']
 ['J' '.' '.' '.' 'A' 'A']
 ['J' 'E' 'E' 'E' '.' 'M']
 ['F' 'F' 'K' 'G' 'G' 'M']
 ['.' '.' 'K' 'I' 'I' 'M']]
