1 0 1 BB..CC.DD.L.AA..L.HEEEL.HIJKFFHIJKGG A93 B98 C96 D97 E95 F99 G99 H83 I92 J98 K98 L98 
1 0 1 BB.CC..DD.L.AA..L.HEEEL.HIJKFFHIJKGG A93 B98 C95 D97 E95 F99 G99 H83 I92 J98 K98 L98 
1 0 1 .BBCC..DD.L.AA..L.HEEEL.HIJKFFHIJKGG A93 B97 C95 D97 E95 F99 G99 H83 I92 J98 K98 L98 
1 0 1 .BBCC..DD.L...AAL.HEEEL.HIJKFFHIJKGG A91 B97 C95 D97 E95 F99 G99 H83 I92 J98 K98 L98 
1 0 1 HBBCC.HDD.L.H.AAL..EEEL..IJKFF.IJKGG A91 B97 C95 D97 E95 F99 G99 H80 I92 J98 K98 L98 
1 0 1 HBBCC.HDD.L.H.AAL.EEE.L..IJKFF.IJKGG A91 B97 C95 D97 E94 F99 G99 H80 I92 J98 K98 L98 
1 0 1 HBBCC.HDD.L.H.AAL.EEEKL..IJKFF.IJ.GG A91 B97 C95 D97 E94 F99 G99 H80 I92 J98 K97 L98 
1 0 1 HBBCC.HDD.L.H.AAL.EEEKL..IJKFF.IJGG. A91 B97 C95 D97 E94 F99 G98 H80 I92 J98 K97 L98 
1 0 1 HBBCC.HDD.L.HAA.L.EEEKL..IJKFF.IJGG. A90 B97 C95 D97 E94 F99 G98 H80 I92 J98 K97 L98 
1 0 1 HBBCC.H.DDL.HAA.L.EEEKL..IJKFF.IJGG. A90 B97 C95 D96 E94 F99 G98 H80 I92 J98 K97 L98 
1 0 1 HBBCC.H.DDL.HAA.L.EEEKL..IJKFF.IJ.GG A90 B97 C95 D96 E94 F99 G97 H80 I92 J98 K97 L98 
1 0 1 HBBCC.H.DDL.HAA.L.EEE.L..IJKFF.IJKGG A90 B97 C95 D96 E94 F99 G97 H80 I92 J98 K96 L98 
1 0 1 HBBCC.H.DDL.HAA.L..EEEL..IJKFF.IJKGG A90 B97 C95 D96 E93 F99 G97 H80 I92 J98 K96 L98 
1 0 1 .BBCC...DDL..AA.L.HEEEL.HIJKFFHIJKGG A90 B97 C95 D96 E93 F99 G97 H77 I92 J98 K96 L98 
