4 4 0 .JBBCC.JKLM.AAKLMN.DD..NIFF..NIGG.HH G99 H98 I99 L98 
4 4 0 .JBBCC.JKLM.AAKLMN.DD..NIFF..NI.GGHH G98 H98 I99 L98 
4 4 0 .JBBCC.JK.M.AAK.MNI.DD.NIFFL.N.GGLHH D99 G99 H98 L99 
4 4 0 .JBBCC.J..M.AAK.MNI.KDDNIFFL.NGG.LHH D98 H98 K99 L99 
4 4 0 .JBBCC.JK.M.AAK.MNI..DDNIFFL.N.GGLHH D98 G99 H98 L99 
4 4 0 .JBBCC.JK.M.AAK.MN.DD..NIFFL.NIGGLHH G99 H98 I99 L99 
4 4 0 .JBBCC.JK.M.AAK.MNDD.L.NIFFL.NIGG.HH D99 G99 H98 I99 
4 4 0 .JBBCC.JK.M.AAK.MNDD.L.NIFFL.NI.GGHH D99 G98 H98 I99 
4 4 0 .JBBCC.JK..NAAKLMNIDDLMNIFF...GG.HH. H99 L99 M99 N99 
4 4 0 .JBBCC.JKL.NAAKLMNIDD.MNIFF...GG.HH. H99 L98 M99 N99 
4 4 0 .JBBCC.JK..NAAK.MNIDDLMNIFFL...GGHH. G99 H99 M99 N99 
4 4 0 .JBBCC.JK...AAKLMNIDDLMNI.FF.NGG.HH. F99 H99 L99 M99 
4 4 0 .JBBCC.JK...AAKLMNIDDLMNI..FFNGG.HH. F98 H99 L99 M99 
4 4 0 .JBBCC.JK...AAKLM.IDDLMNIFF..NGG.HHN H99 L99 M99 N99 
4 4 0 .JBBCC.JK...AAKLMNIDDLMNIFF..N.GGHH. G99 H99 L99 M99 
4 4 0 .JBBCC.JKL..AAKLMNI.DDMNIFF..NGG.HH. D99 H99 L98 M99 
4 4 0 .JBBCC.JKL..AAKLMNIDD.MNI.FF.NGG.HH. F99 H99 L98 M99 
4 4 0 .JBBCC.JKL..AAKLMNIDD.MNI..FFNGG.HH. F98 H99 L98 M99 
4 4 0 .JBBCC.JKL..AAKLM.IDD.MNIFF..NGG.HHN H99 L98 M99 N99 
4 4 0 .JBBCC.JKL..AAKLMNIDD.MNIFF..N.GGHH. G99 H99 L98 M99 
4 4 0 .JBBCC.JK...AAK.M.IDDLMNIFFL.N.GGHHN G99 H99 M99 N99 
4 4 0 .JBBCC.JK...AAK.MN.DDLMNIFFL.NIGGHH. G99 H99 I99 M99 
4 4 0 .JBBCC.JK..NAAKL.NIDDLMNIFF.M.GG.HH. H99 L99 M98 N99 
4 4 0 .JBBCC.JKL.NAAKL.NIDD.MNIFF.M.GG.HH. H99 L98 M98 N99 
4 4 0 .JBBCC.JK..NAAK..NIDDLMNIFFLM..GGHH. G99 H99 M98 N99 
4 4 0 .JBBCC.JK...AAKL.NIDDLMNI.FFMNGG.HH. F99 H99 L99 M98 
4 4 0 .JBBCC.JK...AAKL..IDDLMNIFF.MNGG.HHN H99 L99 M98 N99 
4 4 0 .JBBCC.JK...AAKL.NIDDLMNIFF.MN.GGHH. G99 H99 L99 M98 
4 4 0 .JBBCC.JKL..AAKL.NI.DDMNIFF.MNGG.HH. D99 H99 L98 M98 
4 4 0 .JBBCC.JKL..AAKL.NIDD.MNI.FFMNGG.HH. F99 H99 L98 M98 
4 4 0 .JBBCC.JKL..AAKL..IDD.MNIFF.MNGG.HHN H99 L98 M98 N99 
4 4 0 .JBBCC.JKL..AAKL.NIDD.MNIFF.MN.GGHH. G99 H99 L98 M98 
4 4 0 .JBBCC.JK...AAK...IDDLMNIFFLMN.GGHHN G99 H99 M98 N99 
4 4 0 .JBBCC.JK...AAK..N.DDLMNIFFLMNIGGHH. G99 H99 I99 M98 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NI.FF..GG.HH. F99 H99 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NI..FF.GG.HH. F98 H99 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NI...FFGG.HH. F97 H99 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NIFF....GGHH. G99 H99 L99 N99 
4 4 0 .JBBCC.JKLMNAAKLMNI.DD.NIFF...GG.HH. D99 H99 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNI..DDNIFF...GG.HH. D98 H99 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NI.FF..GG.HH. F99 H99 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NI..FF.GG.HH. F98 H99 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NI...FFGG.HH. F97 H99 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NIFF....GGHH. G99 H99 L98 N99 
4 4 0 .JBBCC.JK.MNAAK.MN.DDL.NIFFL..IGGHH. G99 H99 I99 N99 
4 4 0 .JBBCC.JK.M.AAKLM.IDDL.NI.FF.NGG.HHN F99 H99 L99 N99 
4 4 0 .JBBCC.JK.M.AAKLMNIDDL.NI.FF.N.GGHH. F99 G99 H99 L99 
4 4 0 .JBBCC.JK.M.AAKLM.IDDL.NI..FFNGG.HHN F98 H99 L99 N99 
4 4 0 .JBBCC.JK.M.AAKLMNIDDL.NI..FFN.GGHH. F98 G99 H99 L99 
4 4 0 .JBBCC.JK.M.AAKLM.IDDL.NIFF..N.GGHHN G99 H99 L99 N99 
4 4 0 .JBBCC.JK.M.AAKLMN.DDL.NIFF..NIGGHH. G99 H99 I99 L99 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NI.FF.NGG.HH. D99 F99 H99 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NI..FFNGG.HH. D99 F98 H99 L98 
4 4 0 .JBBCC.JKLM.AAKLM.I.DD.NIFF..NGG.HHN D99 H99 L98 N99 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NIFF..N.GGHH. D99 G99 H99 L98 
4 4 0 .JBBCC.J.LM.AAKLMNI.KDDNIFF..NGG.HH. D98 H99 K99 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI..DDNI.FF.NGG.HH. D98 F99 H99 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI..DDNI..FFNGG.HH. D98 F98 H99 L98 
